index,cell_type,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
VAMP3,Fibroblasts,0.43776663531768084,-0.6713865003382875,0.08159661221209911,-5.257913374648338,1.4569911743210837e-07,8.197939266199066e-07
PER3,Fibroblasts,0.18895046926516695,0.013996191645019314,0.1861245961421451,2.88473759917307,0.003917400273787909,0.012564960414250136
TNFRSF9,Fibroblasts,0.004879544074010551,-0.07711013004540235,0.5045504829698364,0.42466269902256426,0.6710825792886387,
PARK7,Fibroblasts,2.4041898068757033,-0.5850320656492295,0.03674023773796338,-16.01918965963853,9.3865551796617e-58,3.70843426066317e-56
ERRFI1,Fibroblasts,1.979642067201946,-0.23599784669220664,0.09521533054141904,-2.488157595480349,0.012840681813450761,0.03398972508221606
RP11-431K24.1,Fibroblasts,0.012521880593384743,-0.19198239336929435,0.5394318554221408,0.6568126534281422,0.5113013870835785,
SLC45A1,Fibroblasts,0.04363211036117834,-0.19869609537040706,0.39786504899748126,1.3901346362312712,0.1644879973272919,
RERE,Fibroblasts,0.14872040230110062,-0.9167680294462968,0.22557893496783843,0.8921663043991777,0.37230380004776864,0.4264446195669103
ENO1,Fibroblasts,3.665288563412514,-0.8026539067361955,0.03787941943227107,-21.321597494071025,7.157315256450817e-101,8.09752621513913e-99
SLC2A5,Fibroblasts,0.14375752506301873,0.07403408075460091,0.2063675753029347,2.994082869481788,0.002752711680227183,0.009123168271751608
GPR157,Fibroblasts,0.045419022713919024,-0.18136192073142196,0.44298848871845203,1.1366980237650226,0.25566454577131237,
MIR34AHG,Fibroblasts,0.014042999076001792,-0.015142067512329755,0.6591262570898361,0.5990507870203156,0.54913901781802,
H6PD,Fibroblasts,0.33293405451137337,0.45972207133336157,0.16522787040904224,4.412336241763965,1.022611355507369e-05,4.8206054239731845e-05
SPSB1,Fibroblasts,0.2565725565434559,0.014728560926256093,0.1454950791704476,2.8991152677475314,0.0037421729179059286,0.012059907284421047
